date;temp_min;temp_max;temp_mean;precipitation;snowfall;rain;weathercode
2026-02-01;-13.7;-1.2;-5.6;12.8;8.96;0.0;75
2026-02-02;-27.0;-14.6;-22.9;0.0;0.0;0.0;3
2026-02-03;-31.4;-23.2;-26.9;0.0;0.0;0.0;3
2026-02-04;-27.9;-20.2;-24.2;0.0;0.0;0.0;3
2026-02-05;-23.2;-14.4;-19.2;0.0;0.0;0.0;3
2026-02-06;-26.1;-12.1;-19.3;0.0;0.0;0.0;3
2026-02-07;-13.9;-7.8;-11.3;8.7;6.09;0.0;73
2026-02-08;-12.6;-8.0;-9.1;10.3;7.21;0.0;73
2026-02-09;-15.4;-11.4;-13.7;0.3;0.21;0.0;71
2026-02-10;-12.9;-11.4;-12.1;0.1;0.07;0.0;71
2026-02-11;-18.2;-13.1;-15.8;0.0;0.0;0.0;3
2026-02-12;-16.5;-5.8;-10.8;0.1;0.07;0.0;71
2026-02-13;-4.8;0.1;-1.5;2.4;1.68;0.0;73
2026-02-14;-4.1;0.6;-1.4;2.9;1.05;1.4;73
2026-02-15;-3.4;1.5;-1.1;2.4;0.56;1.6;73
2026-02-16;-6.8;2.6;-2.7;17.9;11.2;1.9;75
2026-02-17;-14.1;-1.4;-9.9;0.2;0.14;0.0;71
2026-02-18;-22.1;-13.1;-16.3;0.0;0.0;0.0;3
2026-02-19;-14.6;-4.3;-9.3;0.0;0.0;0.0;3
2026-02-20;-9.3;-6.4;-8.3;4.1;2.87;0.0;73
2026-02-21;-10.7;-7.8;-8.9;0.6;0.42;0.0;71
2026-02-22;-18.5;-7.6;-11.9;0.0;0.0;0.0;3
2026-02-23;-9.2;-6.1;-7.3;0.0;0.0;0.0;3
2026-02-24;-12.2;-7.3;-9.6;1.6;1.12;0.0;73
2026-02-25;-9.9;-5.1;-7.6;3.1;2.17;0.0;73
2026-02-26;-5.8;-2.5;-4.2;1.5;1.05;0.0;73
2026-02-27;-4.2;-0.9;-2.9;0.0;0.0;0.0;3
2026-02-28;-4.3;0.6;-1.9;1.5;0.91;0.2;71
