date;temp_min;temp_max;temp_mean;precipitation;snowfall;rain;weathercode
2026-01-01;-12.4;-8.0;-10.4;0.5;0.35;0.0;71
2026-01-02;-13.6;-10.4;-12.1;0.2;0.14;0.0;71
2026-01-03;-9.6;-0.6;-3.5;11.4;7.91;0.1;73
2026-01-04;-4.2;-0.6;-2.3;9.8;6.79;0.1;75
2026-01-05;-6.8;-3.7;-5.3;3.5;2.45;0.0;73
2026-01-06;-8.9;-4.5;-6.4;0.5;0.35;0.0;73
2026-01-07;-7.8;-2.1;-4.7;7.8;5.11;0.5;73
2026-01-08;-2.1;-0.5;-1.4;0.4;0.0;0.4;51
2026-01-09;-4.7;-1.9;-3.1;0.6;0.42;0.0;73
2026-01-10;-9.2;-2.2;-3.9;6.0;4.13;0.1;73
2026-01-11;-11.2;-2.0;-5.9;1.3;0.91;0.0;73
2026-01-12;-2.7;0.2;-1.5;4.2;2.73;0.3;73
2026-01-13;-4.2;-2.8;-3.5;4.4;3.08;0.0;73
2026-01-14;-9.1;-2.7;-6.2;0.3;0.07;0.2;71
2026-01-15;-14.0;-9.2;-10.8;0.2;0.14;0.0;71
2026-01-16;-19.4;-13.5;-16.4;0.0;0.0;0.0;3
2026-01-17;-22.9;-14.9;-19.1;0.0;0.0;0.0;3
2026-01-18;-25.7;-12.8;-19.1;0.0;0.0;0.0;3
2026-01-19;-13.0;-7.6;-9.6;0.0;0.0;0.0;3
2026-01-20;-8.9;-6.2;-7.5;0.0;0.0;0.0;3
2026-01-21;-12.0;-8.9;-10.2;0.7;0.49;0.0;71
2026-01-22;-19.0;-9.6;-12.8;0.0;0.0;0.0;3
2026-01-23;-23.8;-18.8;-21.2;0.0;0.0;0.0;3
2026-01-24;-30.0;-20.6;-25.6;0.0;0.0;0.0;3
2026-01-25;-26.2;-19.6;-24.1;0.0;0.0;0.0;3
2026-01-26;-25.6;-16.8;-21.2;0.0;0.0;0.0;3
2026-01-27;-20.0;-14.1;-16.9;0.0;0.0;0.0;3
2026-01-28;-16.2;-3.8;-10.9;5.4;3.78;0.0;75
2026-01-29;-4.9;-1.2;-3.8;7.1;4.34;0.9;75
2026-01-30;-11.0;-0.2;-6.2;10.8;7.56;0.0;73
2026-01-31;-12.2;-6.4;-10.2;18.4;12.81;0.1;73
